symbol,direction,entry_time,entry_price,exit_time,exit_price,stake,multiplier,pnl,outcome,equity_after
JD50,buy,2026-06-18T06:30:00.000Z,64907.98,2026-06-18T17:15:00.000Z,67504.29920000001,20,50,40.00,TP,1040.00
JD50,buy,2026-06-18T18:00:00.000Z,67300.23,2026-06-19T00:15:00.000Z,66223.42632,20.8,50,-16.64,SL,1023.36
JD50,buy,2026-06-19T01:15:00.000Z,66282.43,2026-06-19T03:00:00.000Z,65221.65207777234,20.47,50,-16.38,SL,1006.98
JD50,buy,2026-06-19T03:30:00.000Z,65079.59,2026-06-19T06:15:00.000Z,64038.44581439921,20.14,50,-16.11,SL,990.87
