symbol,direction,entry_time,entry_price,exit_time,exit_price,stake,multiplier,pnl,outcome,equity_after
R_75,buy,2026-06-18T07:45:00.000Z,37289.7876,2026-06-22T10:45:00.000Z,40272.970608,20,25,40.00,TP,1040.00
R_75,buy,2026-06-22T12:45:00.000Z,40279.1534,2026-06-24T00:00:00.000Z,38990.2204912,20.8,25,-16.64,SL,1023.36
R_75,buy,2026-06-24T01:30:00.000Z,39210.1694,2026-06-25T17:00:00.000Z,42346.982952,20.47,25,40.94,TP,1064.30
R_75,buy,2026-06-25T19:30:00.000Z,42247.8723,2026-06-27T09:30:00.000Z,44028.6758,21.29,25,22.44,EOD_MARK,1086.74
