symbol,direction,entry_time,entry_price,exit_time,exit_price,stake,multiplier,pnl,outcome,equity_after
JD75,sell,2026-06-18T04:30:00.000Z,8547.15,2026-06-19T14:00:00.000Z,7863.378,20,25,40.00,TP,1040.00
JD75,sell,2026-06-19T20:15:00.000Z,8130.47,2026-06-20T11:15:00.000Z,8390.645040000001,20.8,25,-16.64,SL,1023.36
JD75,sell,2026-06-20T13:15:00.000Z,8446.22,2026-06-21T07:00:00.000Z,7770.5224,20.47,25,40.94,TP,1064.30
JD75,sell,2026-06-21T07:00:00.000Z,7785.42,2026-06-21T22:00:00.000Z,8034.524185251292,21.29,25,-17.03,SL,1047.27
JD75,sell,2026-06-21T23:00:00.000Z,7932.34,2026-06-24T09:30:00.000Z,8186.1748800000005,20.95,25,-16.76,SL,1030.51
