symbol,window_start,window_end,regime,trades,wins,losses,gross_profit,gross_loss,total_return_pct,max_drawdown_pct,exit_reasons
STPRNG2,2025-12-06,2026-03-06,ranging/med-vol,3,1,2,0.16,0.09,0.67,0.92,"BIAS_REVERSAL:3"
STPRNG2,2026-01-05,2026-04-05,ranging/med-vol,1,1,0,0.14,0.00,1.39,0,"BIAS_REVERSAL:1"
STPRNG2,2026-02-04,2026-05-05,ranging/med-vol,0,0,0,0.00,0.00,0,0,""
STPRNG2,2026-03-06,2026-06-04,ranging/med-vol,0,0,0,0.00,0.00,0,0,""
STPRNG2,2026-04-05,2026-07-04,ranging/med-vol,0,0,0,0.00,0.00,0,0,""
STPRNG3,2025-07-09,2025-10-07,ranging/med-vol,4,4,0,0.77,0.00,7.71,0,"BIAS_REVERSAL:4"
STPRNG3,2025-08-08,2025-11-06,ranging/med-vol,3,3,0,0.75,0.00,7.48,0,"BIAS_REVERSAL:2 EOD_MARK:1"
STPRNG3,2025-09-07,2025-12-06,ranging/med-vol,4,3,1,0.19,0.20,-0.13,1.99,"BIAS_REVERSAL:3 EOD_MARK:1"
STPRNG3,2025-10-07,2026-01-05,ranging/med-vol,2,2,0,0.49,0.00,4.89,0,"BIAS_REVERSAL:2"
STPRNG3,2025-11-06,2026-02-04,ranging/med-vol,2,1,1,0.44,0.19,2.53,1.8,"BIAS_REVERSAL:2"
STPRNG3,2025-12-06,2026-03-06,ranging/med-vol,3,1,2,0.22,0.22,-0.02,2.2,"BIAS_REVERSAL:2 EOD_MARK:1"
STPRNG3,2026-01-05,2026-04-05,ranging/med-vol,2,0,2,0.00,0.42,-4.16,4.16,"BIAS_REVERSAL:2"
STPRNG3,2026-02-04,2026-05-05,ranging/med-vol,2,0,2,0.00,0.53,-5.26,5.26,"BIAS_REVERSAL:2"
STPRNG3,2026-03-06,2026-06-04,ranging/med-vol,2,1,1,0.20,0.30,-0.95,2.97,"BIAS_REVERSAL:1 EOD_MARK:1"
STPRNG3,2026-04-05,2026-07-04,ranging/med-vol,2,1,1,0.72,0.30,4.22,2.97,"BIAS_REVERSAL:2"
STPRNG4,2025-07-09,2025-10-07,ranging/high-vol,3,0,3,0.00,0.79,-7.88,7.88,"BIAS_REVERSAL:3"
