symbol,direction,entry_time,entry_price,exit_time,exit_price,stake,multiplier,pnl,outcome,equity_after
frxXAGUSD,buy,2025-11-06T07:00:00.000Z,48.3621,2025-11-18T00:00:00.000Z,49.9486,1,10,0.33,BIAS_REVERSAL,12.73
STPRNG2,sell,2025-11-06T08:00:00.000Z,10599,2025-12-02T00:00:00.000Z,10943.8,1,10,-0.33,BIAS_REVERSAL,9.96
BOOM600,sell,2025-11-09T02:00:00.000Z,6189.316,2025-11-20T00:00:00.000Z,6577.832,1,5,-0.31,BIAS_REVERSAL,9.13
frxUSDJPY,buy,2025-11-10T07:00:00.000Z,154.029,2026-02-12T00:00:00.000Z,153.398,1,10,-0.04,BIAS_REVERSAL,9.46
1HZ10V,buy,2025-11-12T01:00:00.000Z,9645.09,2025-11-29T00:00:00.000Z,9396.68,1,10,-0.26,BIAS_REVERSAL,9.90
cryETHUSD,sell,2025-11-14T23:00:00.000Z,3157.726,2025-12-14T00:00:00.000Z,3111.245,1,5,0.07,BIAS_REVERSAL,11.74
1HZ25V,sell,2025-11-16T14:00:00.000Z,677890.59,2025-12-15T20:00:00.000Z,732121.8372000001,1,10,-0.80,SL,9.13
frxGBPJPY,buy,2025-11-18T18:00:00.000Z,204.597,2026-01-19T00:00:00.000Z,211.303,1,10,0.33,BIAS_REVERSAL,10.28
frxXAGUSD,buy,2025-11-19T10:00:00.000Z,52.1509,2025-12-09T16:00:00.000Z,60.49504399999999,1,10,1.60,TP,14.33
JD10,sell,2025-11-20T06:15:00.000Z,92648.53,2025-12-20T00:00:00.000Z,94195.37,1,10,-0.17,BIAS_REVERSAL,9.84
JD25,sell,2025-11-25T09:45:00.000Z,116465.92,2025-11-29T11:30:00.000Z,125783.19360000001,1,10,-0.80,SL,7.24
frxEURAUD,sell,2025-11-27T09:15:00.000Z,1.77554,2026-01-21T00:00:00.000Z,1.74145,1,10,0.19,BIAS_REVERSAL,10.17
STPRNG3,sell,2025-11-27T12:45:00.000Z,11263,2025-12-28T00:00:00.000Z,10767.1,1,10,0.44,BIAS_REVERSAL,11.24
CRASH50,sell,2025-11-30T22:00:00.000Z,99299.624,2025-12-30T00:00:00.000Z,98781.167,1,5,0.03,BIAS_REVERSAL,10.03
cryBTCUSD,sell,2025-12-01T02:30:00.000Z,87056.469,2026-01-04T00:00:00.000Z,91372.757,1,5,-0.25,BIAS_REVERSAL,9.41
BOOM50,buy,2025-12-03T04:00:00.000Z,100735.599,2025-12-21T00:00:00.000Z,100086.857,1,5,-0.03,BIAS_REVERSAL,9.97
R_25,sell,2025-12-07T04:00:00.000Z,2332.335,2025-12-16T03:00:00.000Z,2518.9218,1,10,-0.80,SL,8.50
BOOM500,buy,2025-12-10T12:15:00.000Z,6036.263,2025-12-19T00:00:00.000Z,6170.924,1,5,0.11,BIAS_REVERSAL,11.03
1HZ100V,sell,2025-12-12T02:00:00.000Z,788.26,2025-12-28T12:45:00.000Z,914.3815999999999,1,5,-0.80,SL,7.81
R_100,sell,2025-12-13T07:00:00.000Z,525.22,2025-12-16T08:00:00.000Z,609.2552,1,5,-0.80,SL,9.49
STPRNG,sell,2025-12-17T05:00:00.000Z,7854.5,2026-01-25T00:00:00.000Z,7831.2,1,10,0.03,BIAS_REVERSAL,9.90
JD100,buy,2025-12-19T03:15:00.000Z,1604.91,2025-12-31T00:00:00.000Z,1414.72,1,5,-0.59,BIAS_REVERSAL,10.45
