symbol,direction,entry_time,entry_price,exit_time,exit_price,stake,multiplier,pnl,outcome,equity_after
JD25,sell,2026-06-18T05:00:00.000Z,114364.7,2026-06-19T09:00:00.000Z,109790.112,20,50,40.00,TP,1040.00
JD25,sell,2026-06-19T13:30:00.000Z,109859.91,2026-06-21T10:15:00.000Z,111617.66856,20.8,50,-16.64,SL,1023.36
JD25,sell,2026-06-21T12:45:00.000Z,111500.53,2026-06-23T08:15:00.000Z,107040.5088,20.47,50,40.94,TP,1064.30
JD25,sell,2026-06-23T11:15:00.000Z,106474.66,2026-06-23T21:45:00.000Z,108178.05451366841,21.29,50,-17.03,SL,1047.27
JD25,sell,2026-06-24T01:30:00.000Z,107926.91,2026-06-25T00:00:00.000Z,109653.74056,20.95,50,-16.76,SL,1030.51
JD25,sell,2026-06-25T01:30:00.000Z,109515.44,2026-06-26T05:15:00.000Z,111267.89958816108,20.61,50,-16.49,SL,1014.02
